time,x,y,z,pitch,vx,vy,vz,pitch_rate
2.36,0.2640567487624817,0.0003021071291582936,0.010171083676194912,0.11697817096528414,0.011041923668585503,-5.9629066707946344e-05,0.0335203601736401,-0.12177743907049299
2.38,0.2642781292223299,0.0003009116209656694,0.010843136207279714,0.11453664480827377,0.011096011706750532,-5.9921155236417157e-05,0.033684557153694894,-0.12237395675797014
2.4,0.26450058480637234,0.00029971030684155907,0.011518452531096898,0.11208326148986818,0.01114943608800556,-6.0209659856563195e-05,0.03384673944687785,-0.12296315521001815
2.42,0.26472410224147075,0.0002985032584641291,0.012196992353909015,0.1096181673947759,0.011202196812350584,-6.049458056838444e-05,0.03400690705318897,-0.12354503442663697
2.44,0.26494866825448693,0.0002972905475115459,0.012878715381978642,0.10714150890770555,0.011254293879785611,-6.077591737188088e-05,0.03416505997262825,-0.12411959440782666
2.46,0.2651742695722828,0.000296072245661976,0.013563581321568333,0.1046534324133657,0.011305727290310638,-6.105367026705251e-05,0.03432119820519569,-0.12468683515358717
2.48,0.26540089292172003,0.00029484842459358594,0.014251549878940664,0.10215408429646491,0.011356497043925662,-6.132783925389937e-05,0.0344753217508913,-0.1252467566639185
2.5,0.26562852502966044,0.0002936191559845422,0.014942580760358176,0.09964361094171181,0.011406603140630687,-6.159842433242143e-05,0.034627430609715064,-0.12579935893882066
2.52,0.26585715262296583,0.0002923845115130112,0.015636633672083455,0.09712215873381494,0.011456045580425712,-6.186542550261869e-05,0.034777524781666985,-0.12634464197829365
2.54,0.26608676242849805,0.00029114456285715966,0.016333668320379045,0.09458987405748295,0.011504824363310736,-6.212884276449117e-05,0.03492560426674708,-0.1268826057823375
2.56,0.26631734117311884,0.00028989938169515377,0.017033644411507523,0.09204690329742432,0.01155293948928576,-6.238867611803882e-05,0.03507166906495533,-0.12741325035095216
2.58,0.26654887558369006,0.00028864903970516026,0.017736521651731448,0.0894933928383477,0.011600390958350783,-6.264492556326169e-05,0.03521571917629175,-0.12793657568413766
2.6,0.26678135238707346,0.00028739360856534546,0.018442259747313387,0.08692948906496165,0.011647178770505806,-6.289759110015978e-05,0.035357754600756325,-0.12845258178189398
2.62,0.2670147583101309,0.000286133159953876,0.019150818404515893,0.08435533836197477,0.011693302925750831,-6.314667272873305e-05,0.035497775338349066,-0.12896126864422114
2.64,0.26724908007972414,0.0002848677655489183,0.019862157329601532,0.08177108711409567,0.011738763424085853,-6.339217044898154e-05,0.03563578138906996,-0.1294626362711191
2.66,0.2674843044227149,0.0002835974970286389,0.020576236228832874,0.07917688170603288,0.011783560265510876,-6.363408426090524e-05,0.03577177275291903,-0.12995668466258792
2.68,0.26772041806596514,0.00028232242607120425,0.021293014808472486,0.07657286852249501,0.011827693450025899,-6.387241416450413e-05,0.03590574942989626,-0.1304434138186276
2.7,0.2679574077363366,0.0002810426243547809,0.022012452774782913,0.07395919394819064,0.011871162977630918,-6.410716015977824e-05,0.036037711420001645,-0.13092282373923808
2.72,0.26819526016069095,0.00027975816355753526,0.022734509834026743,0.07133600436782835,0.01191396884832594,-6.433832224672753e-05,0.03616765872323519,-0.13139491442441942
2.74,0.26843396206589015,0.0002784691153576339,0.023459145692466515,0.06870344616611673,0.011956111062110962,-6.456590042535205e-05,0.0362955913395969,-0.13185968587417157
2.7600000000000002,0.26867350017879604,0.00027717555143324336,0.02418632005636481,0.06606166572776435,0.01199758961898598,-6.478989469565176e-05,0.03642150926908677,-0.13231713808849455
2.7800000000000002,0.26891386122627026,0.00027587754346253,0.02491599263198417,0.0634108094374798,0.012038404518951003,-6.501030505762668e-05,0.03654541251170482,-0.13276727106738836
2.8000000000000003,0.26915503193517465,0.00027457516312366046,0.025648123125587192,0.060751023679971664,0.012078555762006024,-6.522713151127681e-05,0.036667301067451,-0.133210084810853
2.82,0.2693969990323711,0.00027326848209480116,0.026382671243436386,0.058082454839948575,0.012118043348151041,-6.544037405660212e-05,0.03678717493632536,-0.13364557931888849
2.84,0.26963974924472134,0.00027195757205411856,0.027119596691794375,0.055405249302119,0.01215686727738606,-6.565003269360265e-05,0.03690503411832788,-0.1340737545914948
2.86,0.2698832692990871,0.0002706425046797792,0.027858859176923684,0.052719553451191684,0.012195027549711081,-6.58561074222784e-05,0.03702087861345857,-0.13449461062867196
2.88,0.27012754592233035,0.0002693233516499496,0.028600418405086904,0.050025513671874994,0.012232524165126098,-6.605859824262934e-05,0.03713470842171741,-0.1349081474304199
2.9,0.27037256584131275,0.0002680001846427962,0.029344234082546584,0.04732327634887769,0.012269357123631117,-6.625750515465548e-05,0.03724652354310441,-0.1353143649967387
2.92,0.2706183157828962,0.00026667307533648557,0.030090265915565267,0.04461298786690833,0.012305526425226136,-6.645282815835684e-05,0.03735632397761959,-0.13571326332762837
2.94,0.2708647824739424,0.0002653420954091841,0.030838473610405547,0.041894794610675454,0.012341032069911152,-6.66445672537334e-05,0.03746410972526292,-0.13610484242308885
2.96,0.2711119526413132,0.00026400731653905833,0.03158881687332997,0.03916884296488764,0.01237587405768617,-6.683272244078515e-05,0.03756988078603442,-0.13648910228312017
2.98,0.27135981301187045,0.00026266881040427486,0.032341255410601115,0.036435279314253485,0.012410052388551189,-6.701729371951212e-05,0.037673637159934076,-0.1368660429077223
3.0,0.2716083503124759,0.00026132664868300004,0.03309574892848152,0.03369425004348159,0.012443567062506204,-6.719828108991429e-05,0.03777537884696189,-0.13723566429689527
3.02,0.27185755126999134,0.00025998090305340044,0.03385225713323378,0.03094590153728051,0.012476418079551221,-6.737568455199167e-05,0.03787510584711787,-0.13759796645063907
3.04,0.2721074026112785,0.00025863164519364254,0.03461073973112042,0.028190380180358868,0.012508605439686238,-6.754950410574425e-05,0.037972818160402017,-0.1379529493689537
3.06,0.27235789106319935,0.00025727894678189285,0.03537115642840405,0.025427832357425267,0.012540129142911253,-6.771973975117201e-05,0.03806851578681431,-0.1383006130518392
3.08,0.27260900335261556,0.00025592287949631785,0.03613346693134719,0.022658404453188202,0.01257098918922627,-6.7886391488275e-05,0.038162198726354776,-0.1386409574992955
3.1,0.272860726206389,0.000254563515015084,0.03689763094621244,0.019882242852356236,0.012601185578631281,-6.804945931705321e-05,0.0382538669790234,-0.1389739827113226
3.12,0.27311304635138145,0.00025320092501635787,0.037663608179262315,0.017099493939638125,0.012630718311126297,-6.82089432375066e-05,0.038343520544820195,-0.1392996886879206
3.14,0.27336595051445467,0.0002518351811783059,0.038431358336759425,0.014310304099742294,0.012659587386711312,-6.83648432496352e-05,0.038431159423745156,-0.13961807542908936
3.16,0.27361942542247053,0.0002504663551790946,0.03920084112496632,0.01151481971737739,0.012687792805386323,-6.851715935343901e-05,0.03851678361579826,-0.139929142934829
3.18,0.2738734578022907,0.0002490945186968905,0.03997201625014554,0.008713187177251988,0.01271533456715134,-6.866589154891802e-05,0.038600393120979536,-0.14023289120513943
3.2,0.2741280343807771,0.00024771974340986007,0.04074484341855969,0.0059055528640746535,0.012742212672006353,-6.881103983607224e-05,0.03868198793928898,-0.14052932024002074
3.22,0.27438314188479157,0.00024634210099616974,0.04151928233647129,0.0030920631625540457,0.012768427119951365,-6.895260421490164e-05,0.038761568070726574,-0.14081843003947286
3.24,0.2746387670411958,0.0002449616631339861,0.042295292710142936,0.00027286445739860277,0.012793977910986378,-6.909058468540627e-05,0.038839133515292334,-0.14110022060349584
3.2600000000000002,0.2748948965768516,0.0002435785015014757,0.043072834245837174,-0.002551896866682918,0.012818865045111393,-6.922498124758611e-05,0.038914684272986264,-0.14137469193208962
3.2800000000000002,0.27515151721862086,0.00024219268777680487,0.04385186664981657,-0.005382074424982147,0.012843088522326402,-6.935579390144114e-05,0.03898822034380834,-0.14164184402525426
3.3000000000000003,0.2754086156933653,0.0002408042936381402,0.0446323496283437,-0.0082175218327903,0.012866648342631414,-6.948302264697139e-05,0.03905974172775859,-0.1419016768829897
3.3200000000000003,0.2756661787279467,0.00023941339076364817,0.04541424288768109,-0.011058092705398787,0.012889544506026428,-6.960666748417681e-05,0.03912924842483701,-0.142154190505296
3.34,0.27592419304922694,0.00023802005083149532,0.04619750613409137,-0.013903640658099209,0.012911777012511436,-6.972672841305745e-05,0.03919674043504358,-0.14239938489217313
3.36,0.2761826453840678,0.0002366243455198481,0.046982099073837026,-0.016754019306182824,0.012933345862086448,-6.984320543361332e-05,0.03926221775837831,-0.1426372600436211
3.38,0.276441522459331,0.000235226346506873,0.047767981413180664,-0.019609082264941152,0.01295425105475146,-6.995609854584437e-05,0.0393256803948412,-0.14286781595963982
3.4,0.27670081100187843,0.00023382612547073647,0.04855511285838485,-0.022468683149665547,0.012974492590506467,-7.006540774975063e-05,0.03938712834443227,-0.14309105264022948
3.42,0.27696049773857184,0.0002324237540896051,0.04934345311571214,-0.025332675575647473,0.01299407046935148,-7.017113304533208e-05,0.03944656160715148,-0.1433069700853899
3.44,0.27722056939627304,0.00023101930404164535,0.05013296189142509,-0.028200913158178326,0.01301298469128649,-7.027327443258878e-05,0.03950398018299887,-0.14351556829512122
3.46,0.2774810127018439,0.0002296128470050237,0.050923598891786305,-0.0310732495125495,0.013031235256311495,-7.037183191152064e-05,0.039559384071974416,-0.1437168472694233
3.48,0.2777418143821461,0.00022820445465790667,0.05171532382305829,-0.03394953825405245,0.013048822164426505,-7.046680548212773e-05,0.03961277327407811,-0.14391080700829628
3.5,0.27800296116404155,0.00022679419867846078,0.0525080963915036,-0.03682963299797848,0.013065745415631515,-7.055819514441e-05,0.03966414778930998,-0.14409744751174003
3.52,0.278264439774392,0.00022538215074485246,0.053301876303384864,-0.03971338735961913,0.013082005009926522,-7.064600089836748e-05,0.03971350761767002,-0.14427676877975462
3.54,0.27852623694005924,0.00022396838253524822,0.05409662326496458,-0.04260065495426585,0.01309760094731153,-7.073022274400019e-05,0.0397608527591582,-0.1444487708123401
3.56,0.27878833938790504,0.0002225529657278146,0.05489229698250538,-0.045491289397209894,0.013112533227786539,-7.081086068130808e-05,0.039806183213774556,-0.14461345360949635
3.58,0.2790507338447913,0.00022113597200071808,0.05568885716226974,-0.04838514430374277,0.013126801851351544,-7.08879147102912e-05,0.039849498981519085,-0.14477081717122348
3.6,0.27931340703757973,0.0002197174730321251,0.05648626351052032,-0.05128207328915596,0.013140406818006552,-7.09613848309495e-05,0.03989080006239175,-0.14492086149752137
3.62,0.27957634569313217,0.00021829754050020227,0.05728447573351962,-0.05418192996874077,0.01315334812775156,-7.1031271043283e-05,0.039930086456392594,-0.1450635865883902
3.64,0.27983953653831034,0.00021687624608311598,0.058083453537530215,-0.05708456795778871,0.013165625780586563,-7.109757334729172e-05,0.0399673581635216,-0.14519899244382978
3.66,0.2801029662999762,0.00021545366145903273,0.05888315662881468,-0.05998984087159115,0.01317723977651157,-7.116029174297563e-05,0.040002615183778754,-0.14532707906384024
3.68,0.28036662170499144,0.0002140298583061191,0.059683544713635545,-0.06289760232543948,0.013188190115526573,-7.121942623033474e-05,0.04003585751716409,-0.14544784644842146
3.7,0.28063048948021785,0.0002126049083025415,0.06048457749825543,-0.06580770593462512,0.01319847679763158,-7.127497680936909e-05,0.04006708516367758,-0.1455612945975736
3.72,0.2808945563525173,0.00021117888312646648,0.061286214688936864,-0.06872000531443961,0.013208099822826586,-7.132694348007861e-05,0.04009629812331922,-0.1456674235112965
3.74,0.28115880904875157,0.00020975185445606053,0.06208841599194238,-0.07163435408017421,0.013217059191111588,-7.137532624246337e-05,0.04012349639608904,-0.14576623318959028
3.7600000000000002,0.2814232342957824,0.00020832389396949013,0.0628911411135346,-0.07455060584712037,0.013225354902486592,-7.14201250965233e-05,0.04014867998198702,-0.14585772363245486
3.7800000000000002,0.2816878188204716,0.0002068950733449218,0.06369434975997604,-0.07746861423056944,0.0132329869569516,-7.146134004225844e-05,0.04017184888101315,-0.14594189483989028
3.8000000000000003,0.281952549349681,0.00020546546426052195,0.0644980016375293,-0.080388232845813,0.0132399553545066,-7.149897107966881e-05,0.04019300309316745,-0.14601874681189658
3.8200000000000003,0.28221741261027244,0.00020403513839445722,0.06530205645245693,-0.08330931530814245,0.013246260095151605,-7.153301820875436e-05,0.040212142618449916,-0.14608827954847364
3.84,0.2824823953291077,0.00020260416742489394,0.0661064739110215,-0.08623171523284917,0.013251901178886607,-7.156348142951512e-05,0.040229267456860535,-0.14615049304962155
3.86,0.2827474842330486,0.00020117262302999877,0.06691121371948555,-0.08915528623522442,0.013256878605711607,-7.159036074195108e-05,0.04024437760839931,-0.14620538731534036
3.88,0.28301266604895675,0.00019974057688793812,0.06771623558411163,-0.09207988193055983,0.013261192375626611,-7.161365614606227e-05,0.04025747307306626,-0.14625296234562993
3.9,0.2832779275036942,0.00019830810067687844,0.06852149921116235,-0.09500535593414677,0.013264842488631615,-7.163336764184863e-05,0.04026855385086138,-0.14629321814049037
3.92,0.2835432553241226,0.00019687526607498632,0.0693269643069003,-0.0979315618612766,0.013267828944726614,-7.16494952293102e-05,0.04027761994178464,-0.1463261546999216
3.94,0.2838086362371039,0.0001954421447604282,0.07013259057758794,-0.1008583533272408,0.013270151743911615,-7.1662038908447e-05,0.040284671345836076,-0.14635177202392372
3.96,0.2840740569694997,0.00019400880841137058,0.0709383377294879,-0.10378558394733067,0.013271810886186617,-7.167099867925897e-05,0.040289708063015676,-0.14637007011249661
3.98,0.28433950424817195,0.00019257532870597998,0.07174416546886275,-0.10671310733683781,0.013272806371551616,-7.167637454174618e-05,0.040292730093323424,-0.1463810489656404
4.0,0.2846049647999824,0.0001911417773224229,0.07255003350197504,-0.10964077711105347,0.013273138200006617,-7.167816649590857e-05,0.04029373743675935,-0.14638470858335495
4.0200000000000005,0.2848704253517928,0.00018970822593886578,0.07335590153508734,-0.11256844688526924,0.013272806371551616,-7.167637454174618e-05,0.040292730093323424,-0.14638104896564036
4.04,0.285135872630465,0.0001882747462334752,0.07416172927446216,-0.11549597027477623,0.013271810886186616,-7.167099867925898e-05,0.04028970806301567,-0.14637007011249661
4.0600000000000005,0.28540129336286085,0.0001868414098844176,0.07496747642636215,-0.1184232008948661,0.013270151743911617,-7.1662038908447e-05,0.04028467134583608,-0.14635177202392372
4.08,0.2856666742758421,0.00018540828856985955,0.07577310269704979,-0.12134999236083022,0.013267828944726617,-7.164949522931023e-05,0.04027761994178465,-0.14632615469992163
4.1,0.2859320020962705,0.00018397545396796737,0.07657856779278771,-0.12427619828796019,0.013264842488631612,-7.163336764184862e-05,0.04026855385086137,-0.14629321814049034
4.12,0.28619726355100794,0.00018254297775690775,0.07738383141983843,-0.12720167229154705,0.013261192375626613,-7.161365614606225e-05,0.04025747307306627,-0.14625296234562996
4.14,0.2864624453669162,0.00018111093161484707,0.07818885328446454,-0.13012626798688245,0.01325687860571161,-7.159036074195108e-05,0.040244377608399315,-0.14620538731534036
4.16,0.286727534270857,0.00017967938721995182,0.07899359309292861,-0.13304983898925782,0.013251901178886605,-7.156348142951512e-05,0.04022926745686053,-0.1461504930496216
4.18,0.28699251698969225,0.00017824841625038864,0.07979801055149313,-0.13597223891396434,0.013246260095151605,-7.153301820875436e-05,0.04021214261844991,-0.1460882795484737
4.2,0.28725738025028363,0.00017681809038432386,0.08060206536642078,-0.13889332137629393,0.0132399553545066,-7.149897107966881e-05,0.04019300309316746,-0.14601874681189658
4.22,0.2875221107794931,0.00017538848129992402,0.08140571724397404,-0.14181293999153752,0.013232986956951596,-7.146134004225846e-05,0.040171848881013154,-0.1459418948398903
4.24,0.2877866953041823,0.00017395966067535566,0.08220892589041552,-0.14473094837498673,0.013225354902486594,-7.142012509652331e-05,0.04014867998198701,-0.1458577236324549
4.26,0.2880511205512132,0.00017253170018878533,0.08301165101200768,-0.14764720014193275,0.013217059191111592,-7.137532624246336e-05,0.040123496396089045,-0.14576623318959026
4.28,0.28831537324744744,0.00017110467151837933,0.08381385231501325,-0.1505615489076674,0.013208099822826586,-7.132694348007862e-05,0.040096298123319225,-0.1456674235112965
4.3,0.28857944011974684,0.00016967864634230426,0.08461548950569465,-0.1534738482874818,0.013198476797631581,-7.127497680936908e-05,0.040067085163677574,-0.14556129459757355
4.32,0.28884330789497326,0.0001682536963387267,0.08541652229031456,-0.1563839518966675,0.013188190115526575,-7.121942623033476e-05,0.04003585751716409,-0.14544784644842146
4.34,0.28910696329998853,0.00016682989318581306,0.08621691037513543,-0.15929171335051587,0.013177239776511567,-7.116029174297563e-05,0.04000261518377876,-0.14532707906384018
