time,joint1,joint2,joint3,joint4,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,x,y,z,pitch
0.7000000000000001,-0.0030016050059975896,-1.363761802489818,1.103681223257109,0.4863928876400977,0.00018371817291154004,0.13151238079943506,-0.08711426898396761,-0.08885325164803864,0.2765906442986722,-0.000830218355861282,-0.0330741844102786,0.2263123084073887
0.72,-0.002997883280881215,-1.3610976516168873,1.101916480239398,0.4845929166677689,0.00018844954503583722,0.13489927498988624,-0.08935775974684239,-0.09114152716993332,0.27698555051671025,-0.000830372838545639,-0.033011724785904216,0.22541174529027946
0.74,-0.00299406721594376,-1.358365968750372,1.1001070037888465,0.482747319289897,0.00019315215501956116,0.1382655801579031,-0.09158761226799757,-0.0934158922023332,0.2773900570488081,-0.0008305269575760315,-0.032946741794431605,0.22448835432837155
0.76,-0.002990157386428036,-1.3555671656707207,1.0982530666702894,0.48085637371627216,0.00019782600286271193,0.14161129630348562,-0.09380382654743313,-0.09567634674523831,0.2778040694893907,-0.0008306803660807359,-0.03287917542188615,0.22354227471584093
0.78,-0.002986154367576855,-1.352701654158382,1.0963549416485607,0.47892035815668416,0.0002024710885652894,0.14493642342663376,-0.09600640258514911,-0.0979228907986486,0.27822749253387563,-0.0008308327115558743,-0.03280896460262532,0.22257364564686283
0.8,-0.0029820587346330286,-1.3497698459938048,1.094412901488495,0.4769395508209228,0.00020708741212729364,0.14824096152734756,-0.09819534038114548,-0.10015552436256409,0.27866022997444456,-0.0008309836360138748,-0.03273604726055749,0.22158260631561294
0.8200000000000001,-0.0029778710628393674,-1.3467721529574377,1.0924272189549262,0.4749142299187782,0.00021167497354872468,0.151524910605627,-0.10037063993542225,-0.1023742474369848,0.27910218469579945,-0.0008311327761321462,-0.032660360350317344,0.22056929591626673
0.84,-0.0029735919274386834,-1.3437089868297294,1.0903981668126896,0.47284467366004007,0.00021623377282958245,0.15478827066147208,-0.1025323012479794,-0.10457906002191067,0.27955325867092606,-0.0008312797634020268,-0.032581839898398475,0.21953385364300032
0.86,-0.002969221903673788,-1.3405807593911285,1.0883260178266185,0.4707311602544984,0.00022076380996986702,0.1580310416948828,-0.10468032431881696,-0.10676996211734176,0.2800133529568883,-0.000831424224278065,-0.032500421044244596,0.2184764186899884
0.88,-0.002964761566787492,-1.3373878824220837,1.0862110447615483,0.46857396791194306,0.0002252650849695783,0.16125322370585918,-0.10681470914793491,-0.10894695372327805,0.28048236769067264,-0.0008315657803276805,-0.03241603808129691,0.2173971302514076
0.9,-0.0029602114920226083,-1.3341307677030436,1.0840535203823127,0.4663733748421639,0.0002297375978287164,0.1644548166944012,-0.10893545573533327,-0.11111003483971954,0.28096020208510886,-0.0008317040483812689,-0.032328624498001515,0.216296127521433
0.92,-0.0029555722546219477,-1.3308098270144573,1.0818537174537464,0.4641296592549509,0.00023418134854728126,0.16763582066050886,-0.11104256408101203,-0.11325920546666624,0.2814467544248839,-0.000831838640682787,-0.03223811301877294,0.21517354969424002
0.9400000000000001,-0.002950844429828321,-1.3274254721367729,1.0796119087406837,0.46184309936009393,0.0002385963371252729,0.17079623560418217,-0.11313603418497116,-0.11539446560411812,0.2819419220626735,-0.0008319691650408776,-0.03214443564491535,0.21402953596400476
0.96,-0.0029460285928845408,-1.3239781148504395,1.077328367007959,0.4595139733673828,0.00024298256356269124,0.17393606152542113,-0.1152158660472107,-0.1175158152520752,0.2824456014154088,-0.0008320952249805724,-0.032047523695500894,0.2128642255249023
0.98,-0.0029411253190334175,-1.3204681669359057,1.0750033650204067,0.45714255948660754,0.0002473400278595363,0.17705529842422574,-0.11728205966773064,-0.11962325441053749,0.28295768796070203,-0.0008322164198956196,-0.03194730784820295,0.21167775757110852
1.0,-0.002936135183517763,-1.31689604017362,1.0726371755428612,0.4547291359275579,0.00025166873001580825,0.18015394630059597,-0.11933461504653096,-0.12171678307950497,0.2834780762334468,-0.0008323323452014743,-0.0318437181800842,0.21047027129679907
1.02,-0.002931058761580389,-1.3132621463440313,1.070230071340157,0.45227398090002396,0.0002559686700315069,0.1832320051545319,-0.12137353218361169,-0.12379640125897766,0.2840066598226162,-0.0008324425924889937,-0.031736684208337966,0.2092419058961496
1.04,-0.0029258966284641066,-1.3095668972275882,1.0677823251771281,0.44977737261379547,0.00026023984790663233,0.18628947498603343,-0.12339881107897283,-0.12586210894895553,0.28454333136827464,-0.0008325467496788665,-0.03162613493098068,0.20799280056333536
1.06,-0.0029206493594117274,-1.3058107046047394,1.0652942098186093,0.44723958927866236,0.00026448226364118453,0.18932635579510063,-0.12541045173261434,-0.12791390614943862,0.28508798255882467,-0.0008326444011768183,-0.03151199886749345,0.20672309449253234
1.08,-0.002915317529666063,-1.301993980255934,1.062765998029435,0.4446609091044146,0.00026869591723516353,0.19234264758173347,-0.12740845414453628,-0.12995179286042693,0.2856405041285049,-0.000832735128029615,-0.031394204099411904,0.2054329268779157
1.1,-0.0029099017144699245,-1.2981171359616197,1.0601979625744395,0.44204161030084194,0.0002728808086885692,0.19533835034593194,-0.12939281831473856,-0.1319757690819204,0.2862007858551581,-0.0008328185080818999,-0.03127267831085926,0.20412243691366178
1.12,-0.002904402489066124,-1.2941805835022462,1.057590376218457,0.43938197107773436,0.00027703693800140174,0.19831346408769607,-0.1313635442432213,-0.1339858348139191,0.2867687165582861,-0.0008328941161338817,-0.0311473488290232,0.20279176379394526
1.1400000000000001,-0.0028988204286974724,-1.2901847346582616,1.0549435117263222,0.43668226964488177,0.000281164305173661,0.20126798880702584,-0.1333206319299844,-0.13598199005642297,0.28734418409741,-0.0008329615240999063,-0.031018142664569606,0.20144104671294238
